trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.99, 'e': 0.7619999999999998}",35,0,-190.97971451957196,"{0: 21, 1: 1, 2: 9, 3: 2, 4: 2}",0
115,False,"{'a': 0.99, 'e': 0.7599999999999998}",30,0,-181.93294468276542,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
116,False,"{'a': 0.99, 'e': 0.7579999999999998}",20,0,-26.56372844524208,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.99, 'e': 0.7559999999999998}",30,8,-224.0176556573757,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 5}",1
118,False,"{'a': 0.99, 'e': 0.7539999999999998}",25,0,-49.945266419926,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.99, 'e': 0.7519999999999998}",25,0,-20.649402899886258,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
120,False,"{'a': 0.99, 'e': 0.7499999999999998}",20,3,-82.82756818675092,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
121,False,"{'a': 0.99, 'e': 0.7479999999999998}",25,2,-36.18317426517712,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 0}",1
122,False,"{'a': 0.99, 'e': 0.7459999999999998}",20,0,-28.485322065420377,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
123,False,"{'a': 0.99, 'e': 0.7439999999999998}",25,0,-111.24897041908848,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
124,False,"{'a': 0.99, 'e': 0.7419999999999998}",25,0,-23.681821940368962,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
125,False,"{'a': 0.99, 'e': 0.7399999999999998}",30,0,-131.4541723994394,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
126,False,"{'a': 0.99, 'e': 0.7379999999999998}",30,0,-156.65938450929352,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
127,False,"{'a': 0.99, 'e': 0.7359999999999998}",20,0,-82.13485899896804,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
128,False,"{'a': 0.99, 'e': 0.7339999999999998}",20,0,-83.72894317410729,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
129,False,"{'a': 0.99, 'e': 0.7319999999999998}",20,6,-85.92834705323432,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
130,False,"{'a': 0.99, 'e': 0.7299999999999998}",25,0,-106.79047866942753,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
131,False,"{'a': 0.99, 'e': 0.7279999999999998}",25,0,-169.46085170971105,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",1
132,False,"{'a': 0.99, 'e': 0.7259999999999998}",25,0,2.21781460754824,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.99, 'e': 0.7239999999999998}",25,16,-7.790381432007177,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.99, 'e': 0.7219999999999998}",25,0,-67.96696033640598,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
135,False,"{'a': 0.99, 'e': 0.7199999999999998}",20,0,-104.84882940437429,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
136,False,"{'a': 0.99, 'e': 0.7179999999999997}",20,0,-111.86010203296166,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
137,False,"{'a': 0.99, 'e': 0.7159999999999997}",20,8,-7.601226676197076,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.99, 'e': 0.7139999999999997}",30,0,-101.56528607618408,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
